iter	Passed	Remaining
0	156	156674
1	159	79692
2	162	54049
3	166	41340
4	171	34053
5	175	29049
6	181	25775
7	183	22759
8	185	20402
9	186	18467
10	187	16888
11	189	15577
12	190	14472
13	192	13550
14	193	12739
15	195	12018
16	197	11400
17	198	10847
18	200	10345
19	201	9893
20	203	9477
21	204	9099
22	206	8755
23	207	8442
24	209	8172
25	210	7903
26	212	7649
27	213	7414
28	214	7194
29	216	6990
30	217	6799
31	218	6617
32	220	6453
33	221	6298
34	223	6169
35	225	6026
36	226	5890
37	227	5762
38	228	5642
39	230	5537
40	232	5432
41	234	5341
42	236	5253
43	237	5167
44	239	5077
45	240	4988
46	241	4906
47	243	4829
48	244	4754
49	246	4679
50	247	4611
51	249	4551
52	251	4499
53	253	4439
54	254	4376
55	255	4315
56	257	4255
57	258	4203
58	260	4153
59	261	4102
60	263	4053
61	264	4008
62	266	3963
63	267	3916
64	269	3871
65	270	3828
66	272	3791
67	273	3745
68	274	3708
69	276	3669
70	277	3632
71	279	3597
72	280	3565
73	282	3529
74	283	3494
75	284	3463
76	286	3432
77	288	3404
78	289	3379
79	291	3353
80	293	3325
81	295	3305
82	296	3277
83	297	3249
84	299	3222
85	301	3199
86	302	3175
87	304	3155
88	306	3133
89	307	3111
90	309	3089
91	310	3068
92	312	3046
93	313	3024
94	315	3001
95	316	2980
96	317	2958
97	319	2937
98	320	2917
99	321	2897
100	323	2878
101	324	2854
102	325	2835
103	327	2825
104	329	2809
105	331	2791
106	332	2776
107	334	2765
108	337	2755
109	340	2756
110	342	2746
111	344	2733
112	346	2719
113	348	2711
114	350	2700
115	355	2711
116	357	2700
117	359	2688
118	361	2672
119	362	2660
120	364	2649
121	366	2637
122	367	2617
123	368	2605
124	370	2594
125	373	2592
126	375	2580
127	376	2565
128	380	2571
129	384	2573
130	386	2563
131	389	2559
132	391	2551
133	397	2569
134	399	2562
135	402	2553
136	406	2562
137	408	2552
138	410	2544
139	412	2535
140	414	2523
141	415	2511
142	417	2500
143	418	2490
144	420	2479
145	422	2468
146	424	2463
147	429	2473
148	432	2470
149	435	2466
150	436	2455
151	438	2446
152	440	2441
153	443	2435
154	444	2424
155	446	2413
156	447	2402
157	448	2392
158	450	2381
159	451	2371
160	453	2360
161	454	2350
162	455	2339
163	456	2329
164	458	2319
165	459	2309
166	461	2299
167	462	2289
168	463	2280
169	464	2270
170	466	2261
171	468	2254
172	470	2248
173	472	2243
174	475	2239
175	476	2231
176	478	2222
177	480	2217
178	481	2210
179	483	2202
180	484	2190
181	485	2183
182	487	2176
183	489	2169
184	490	2161
185	492	2153
186	493	2147
187	495	2139
188	496	2132
189	498	2124
190	499	2116
191	501	2110
192	502	2103
193	504	2094
194	505	2086
195	506	2079
196	508	2071
197	509	2063
198	511	2059
199	513	2053
200	515	2048
201	517	2044
202	518	2037
203	521	2033
204	522	2026
205	523	2018
206	524	2011
207	526	2004
208	528	1999
209	529	1993
210	532	1991
211	534	1985
212	536	1980
213	537	1975
214	539	1969
215	540	1962
216	542	1955
217	543	1950
218	545	1943
219	547	1940
220	549	1935
221	551	1933
222	553	1927
223	554	1920
224	555	1914
225	556	1907
226	558	1900
227	559	1895
228	562	1892
229	563	1887
230	565	1881
231	566	1875
232	567	1869
233	569	1862
234	570	1856
235	571	1850
236	572	1844
237	574	1838
238	576	1835
239	578	1830
240	579	1825
241	581	1819
242	582	1815
243	584	1810
244	585	1804
245	586	1798
246	588	1792
247	589	1789
248	592	1786
249	594	1782
250	595	1777
251	596	1771
252	598	1766
253	599	1761
254	601	1756
255	602	1751
256	604	1746
257	605	1742
258	607	1737
259	608	1732
260	609	1727
261	611	1721
262	612	1716
263	613	1711
264	615	1706
265	618	1707
266	621	1705
267	622	1700
268	624	1696
269	625	1691
270	627	1686
271	628	1681
272	629	1676
273	631	1672
