iter	Passed	Remaining
0	177	177022
1	191	95588
2	192	64139
3	193	48291
4	194	38796
5	196	32486
6	199	28301
7	200	24867
8	201	22188
9	202	20064
10	203	18329
11	205	16927
12	206	15684
13	207	14619
14	208	13699
15	209	12894
16	211	12211
17	212	11619
18	214	11099
19	216	10600
20	217	10136
21	218	9716
22	219	9327
23	220	8968
24	221	8641
25	222	8336
26	223	8052
27	224	7795
28	226	7592
29	227	7370
30	228	7155
31	229	6953
32	231	6770
33	232	6597
34	233	6433
35	234	6274
36	235	6122
37	236	5979
38	237	5846
39	239	5750
40	240	5629
41	241	5512
42	242	5399
43	243	5295
44	245	5206
45	246	5109
46	247	5019
47	248	4928
48	249	4843
49	250	4759
50	251	4678
51	253	4619
52	254	4549
53	255	4477
54	256	4409
55	257	4344
56	259	4285
57	260	4225
58	261	4165
59	262	4105
60	263	4048
61	264	3994
62	265	3943
63	266	3893
64	268	3858
65	269	3817
66	270	3771
67	271	3727
68	272	3682
69	273	3638
70	274	3595
71	275	3554
72	276	3513
73	277	3475
74	278	3437
75	279	3399
76	282	3382
77	283	3350
78	284	3317
79	285	3286
80	286	3254
81	287	3221
82	288	3185
83	289	3153
84	290	3124
85	291	3094
86	292	3065
87	293	3036
88	293	3009
89	296	2996
90	298	2985
91	300	2961
92	300	2935
93	301	2910
94	302	2885
95	304	2866
96	305	2843
97	306	2821
98	307	2798
99	308	2776
100	311	2768
101	312	2752
102	314	2735
103	315	2714
104	316	2695
105	317	2679
106	318	2659
107	319	2640
108	320	2621
109	321	2604
110	322	2586
111	325	2582
112	327	2566
113	328	2551
114	329	2535
115	330	2521
116	331	2503
117	333	2489
118	334	2476
119	336	2464
120	337	2453
121	339	2442
122	341	2433
123	343	2423
124	344	2410
125	345	2395
126	346	2379
127	347	2365
128	348	2350
129	349	2338
130	350	2327
131	351	2313
132	352	2299
133	355	2296
134	357	2289
135	358	2276
136	359	2265
137	360	2253
138	361	2240
139	362	2229
140	364	2219
141	365	2206
142	366	2193
143	367	2182
144	370	2184
145	371	2173
146	373	2166
147	374	2155
148	375	2143
149	376	2134
150	377	2124
151	378	2113
152	379	2102
153	380	2092
154	382	2083
155	384	2078
156	385	2070
157	413	2203
158	416	2205
159	418	2195
160	418	2183
161	419	2171
162	421	2164
163	422	2155
164	423	2145
165	425	2135
166	425	2124
167	426	2113
168	428	2108
169	430	2103
170	431	2093
171	432	2083
172	434	2077
173	436	2069
174	437	2061
175	438	2052
176	439	2043
177	440	2034
178	443	2035
179	445	2029
180	446	2020
181	447	2013
182	449	2005
183	450	1997
184	451	1988
185	452	1979
186	453	1971
187	454	1962
188	455	1956
189	458	1955
190	460	1949
191	463	1950
192	464	1942
193	466	1936
194	468	1932
195	469	1927
196	471	1922
197	473	1917
198	476	1919
199	478	1913
200	479	1908
201	483	1908
202	487	1914
203	491	1916
204	493	1914
205	494	1907
206	496	1902
207	497	1895
208	499	1888
209	500	1883
210	504	1884
211	505	1877
212	506	1870
213	507	1863
214	508	1857
215	513	1864
216	517	1865
217	518	1860
218	520	1855
219	521	1848
220	522	1843
221	524	1836
222	525	1830
223	526	1823
224	527	1816
225	531	1821
226	537	1829
227	539	1825
228	543	1831
229	547	1832
230	549	1827
231	550	1822
232	551	1815
233	552	1809
234	553	1801
235	554	1796
236	556	1791
237	557	1784
238	558	1777
239	559	1771
240	563	1773
241	564	1767
242	565	1760
243	566	1754
244	567	1748
245	568	1743
246	569	1737
247	571	1731
248	572	1725
249	573	1720
250	574	1713
251	576	1711
252	578	1707
253	579	1701
254	580	1694
255	581	1690
256	582	1684
257	583	1679
258	584	1673
259	585	1667
260	586	1661
261	587	1655
262	588	1650
263	590	1646
264	592	1644
265	594	1639
266	595	1634
267	596	1629
268	597	1623
269	598	1618
270	599	1612
271	600	1607
272	601	1602
273	602	1596
274	604	1594
275	606	1590
276	607	1585
277	612	1591
278	622	1607
279	623	1602
280	624	1599
281	626	1595
282	627	1591
283	628	1585
284	630	1581
285	631	1575
286	633	1574
287	635	1570
288	636	1565
289	637	1561
290	638	1556
291	639	1551
292	640	1546
293	641	1541
294	642	1536
295	644	1531
296	645	1526
297	646	1522
298	648	1520
299	649	1516
300	650	1511
301	651	1506
302	652	1501
303	653	1496
304	655	1492
305	656	1488
306	657	1483
307	658	1479
308	659	1474
309	660	1469
310	662	1467
311	663	1463
312	664	1459
313	665	1454
314	666	1449
315	667	1445
316	668	1441
317	670	1438
318	671	1434
319	674	1433
320	678	1436
321	680	1432
322	681	1427
323	682	1423
324	683	1419
325	684	1415
326	685	1411
327	686	1406
328	687	1402
329	688	1397
330	689	1393
331	692	1394
332	693	1390
333	694	1385
334	696	1381
335	697	1377
336	698	1373
337	698	1368
338	700	1365
339	701	1360
340	702	1357
341	703	1353
342	705	1351
343	706	1347
344	707	1344
345	709	1340
346	710	1336
347	711	1332
348	712	1329
349	713	1325
350	714	1321
351	715	1317
352	716	1314
353	718	1310
354	720	1309
355	721	1305
356	723	1302
357	724	1299
358	725	1296
359	726	1292
360	728	1288
361	728	1284
362	730	1281
363	731	1278
364	732	1274
365	735	1273
366	737	1271
367	738	1268
368	739	1264
369	740	1260
370	741	1257
371	742	1254
372	743	1250
373	745	1247
374	746	1243
375	747	1239
376	749	1238
377	750	1235
378	751	1232
379	752	1228
380	753	1224
381	755	1221
382	756	1218
383	757	1215
384	759	1212
385	760	1209
386	761	1206
387	764	1205
388	765	1202
389	767	1199
390	768	1196
391	769	1193
392	770	1190
393	771	1186
394	772	1183
395	773	1180
396	774	1176
397	776	1174
398	778	1172
399	779	1169
400	781	1166
401	782	1163
402	783	1160
403	784	1157
404	785	1154
405	786	1151
406	787	1147
407	789	1145
408	790	1142
409	792	1140
410	794	1138
411	796	1136
412	797	1133
413	798	1130
414	800	1128
415	802	1126
416	804	1125
417	809	1127
418	810	1124
419	812	1121
420	814	1120
421	815	1117
422	817	1114
423	818	1112
424	819	1108
425	820	1105
426	823	1105
427	825	1102
428	826	1099
429	845	1121
430	859	1134
431	861	1132
432	862	1129
433	863	1126
434	865	1124
435	867	1122
436	869	1120
437	871	1118
438	872	1115
439	873	1112
440	874	1108
441	876	1106
442	877	1103
443	879	1100
444	880	1098
445	881	1095
446	883	1092
447	885	1091
448	887	1089
449	888	1086
450	889	1083
451	891	1080
452	892	1077
453	893	1074
454	894	1071
455	895	1068
456	896	1065
457	899	1064
458	900	1061
459	902	1059
460	903	1055
461	904	1053
462	905	1050
463	906	1047
464	907	1044
465	908	1041
466	909	1038
467	910	1035
468	912	1033
469	914	1030
470	915	1028
471	918	1027
472	919	1024
473	920	1021
474	921	1017
475	922	1015
476	923	1012
477	924	1009
478	925	1006
479	926	1003
480	928	1002
481	930	1000
482	932	997
483	934	996
484	935	993
485	937	991
486	938	988
487	939	985
488	940	982
489	941	979
490	945	979
491	946	977
492	947	974
493	948	972
494	951	970
495	953	968
496	954	965
497	955	963
498	959	963
499	960	960
500	961	958
501	965	957
502	966	955
503	967	952
504	974	955
505	977	954
506	979	952
507	982	951
508	984	949
509	986	947
510	990	947
511	993	947
512	995	944
513	996	942
514	997	939
515	999	937
516	1000	934
517	1001	931
518	1003	930
519	1005	928
520	1007	925
521	1008	923
522	1009	921
523	1011	918
524	1012	915
525	1013	913
526	1015	911
527	1016	908
528	1019	907
529	1020	905
530	1022	902
531	1023	900
532	1024	897
533	1025	895
534	1026	892
535	1028	890
536	1029	887
537	1034	888
538	1036	886
539	1037	883
540	1038	881
541	1040	878
542	1041	876
543	1043	874
544	1045	872
545	1048	871
546	1049	869
547	1051	867
548	1052	864
549	1053	862
550	1054	859
551	1055	856
552	1056	854
553	1057	851
554	1073	860
555	1075	858
556	1076	856
557	1077	853
558	1080	852
559	1082	850
560	1083	847
561	1084	845
562	1085	842
563	1086	839
564	1087	837
565	1088	835
566	1090	832
567	1091	829
568	1092	827
569	1095	826
570	1096	824
571	1098	821
572	1099	819
573	1100	816
574	1102	814
575	1103	812
576	1105	810
577	1106	807
578	1107	805
579	1109	803
580	1110	801
581	1112	798
582	1113	796
583	1114	793
584	1115	791
585	1116	788
586	1117	786
587	1118	783
588	1119	780
589	1120	778
590	1121	775
591	1123	774
592	1124	771
593	1125	769
594	1126	766
595	1127	764
596	1128	761
597	1129	759
598	1130	756
599	1131	754
600	1132	751
601	1133	749
602	1134	747
603	1135	744
604	1137	742
605	1139	740
606	1140	738
607	1141	735
608	1142	733
609	1143	730
610	1144	728
611	1145	725
612	1145	723
613	1146	720
614	1148	718
615	1149	716
616	1150	714
617	1152	712
618	1153	710
619	1154	707
620	1155	705
621	1156	702
622	1157	700
623	1158	698
624	1159	695
625	1160	693
626	1161	690
627	1162	688
628	1163	686
629	1164	683
630	1166	682
631	1167	680
632	1168	677
633	1169	675
634	1170	672
635	1171	670
636	1172	668
637	1173	665
638	1174	663
639	1175	661
640	1176	658
641	1177	656
642	1178	654
643	1179	651
644	1181	650
645	1182	647
646	1183	645
647	1184	643
648	1185	641
649	1186	638
650	1187	636
651	1188	634
652	1189	632
653	1190	630
654	1195	629
655	1197	627
656	1198	625
657	1200	623
658	1201	621
659	1202	619
660	1203	617
661	1204	615
662	1205	612
663	1206	610
664	1207	608
665	1209	606
666	1210	604
667	1211	602
668	1212	599
669	1213	597
670	1214	595
671	1215	593
672	1216	591
673	1217	589
674	1218	586
675	1219	584
676	1220	582
677	1221	580
678	1222	577
679	1224	576
680	1225	574
681	1226	571
682	1227	569
683	1228	567
684	1229	565
685	1230	563
686	1231	561
687	1232	558
688	1233	556
689	1234	554
690	1235	552
691	1237	550
692	1239	549
693	1240	546
694	1241	544
695	1242	542
696	1243	540
697	1244	538
698	1245	536
699	1246	534
700	1247	532
701	1248	530
702	1249	527
703	1250	525
704	1252	524
705	1253	522
706	1254	520
707	1257	518
708	1258	516
709	1259	514
710	1260	512
711	1261	510
712	1262	508
713	1263	506
714	1264	503
715	1265	501
716	1266	500
717	1268	498
718	1270	496
719	1271	494
720	1272	492
721	1272	490
722	1273	488
723	1275	486
724	1275	483
725	1276	481
726	1277	479
727	1278	477
728	1279	475
729	1309	484
730	1311	482
731	1317	482
732	1320	480
733	1321	478
734	1322	476
735	1323	474
736	1324	472
737	1326	470
738	1330	469
739	1333	468
740	1335	466
741	1337	464
742	1338	462
743	1339	460
744	1340	458
745	1342	456
746	1345	455
747	1347	453
748	1348	451
749	1350	450
750	1351	448
751	1352	446
752	1353	444
753	1354	442
754	1356	440
755	1362	439
756	1364	437
757	1365	435
758	1366	433
759	1367	431
760	1369	429
761	1372	428
762	1374	427
763	1377	425
764	1378	423
765	1379	421
766	1380	419
767	1382	417
768	1383	415
769	1389	415
770	1390	413
771	1391	411
772	1392	409
773	1395	407
774	1397	405
775	1398	403
776	1401	402
777	1403	400
778	1404	398
779	1406	396
780	1407	394
781	1408	392
782	1409	390
783	1412	389
784	1419	388
785	1423	387
786	1425	385
787	1427	384
788	1429	382
789	1432	380
790	1433	378
791	1434	376
792	1435	374
793	1437	372
794	1438	371
795	1440	369
796	1441	367
797	1442	365
798	1443	363
799	1445	361
800	1453	361
801	1454	359
802	1456	357
803	1457	355
804	1459	353
805	1460	351
806	1462	349
807	1463	347
808	1464	345
809	1465	343
810	1466	341
811	1468	339
812	1469	338
813	1470	336
814	1471	334
815	1472	332
816	1474	330
817	1476	328
818	1477	326
819	1478	324
820	1479	322
821	1480	320
822	1481	318
823	1482	316
824	1483	314
825	1484	312
826	1485	310
827	1486	308
828	1487	306
829	1489	305
830	1490	303
831	1491	301
832	1493	299
833	1494	297
834	1495	295
835	1496	293
836	1497	291
837	1497	289
838	1498	287
839	1499	285
840	1501	283
841	1502	281
842	1504	280
843	1518	280
844	1520	278
845	1522	277
846	1524	275
847	1525	273
848	1527	271
849	1529	269
850	1530	267
851	1531	266
852	1532	264
853	1534	262
854	1536	260
855	1538	258
856	1540	257
857	1542	255
858	1543	253
859	1544	251
860	1545	249
861	1546	247
862	1547	245
863	1549	243
864	1551	242
865	1552	240
866	1553	238
867	1554	236
868	1555	234
869	1557	232
870	1558	230
871	1559	228
872	1560	226
873	1561	225
874	1562	223
875	1566	221
876	1567	219
877	1568	217
878	1569	216
879	1570	214
880	1571	212
881	1572	210
882	1573	208
883	1574	206
884	1575	204
885	1576	202
886	1577	200
887	1580	199
888	1581	197
889	1582	195
890	1583	193
891	1584	191
892	1585	189
893	1586	188
894	1587	186
895	1588	184
896	1589	182
897	1590	180
898	1591	178
899	1593	177
900	1595	175
901	1596	173
902	1597	171
903	1598	169
904	1599	167
905	1599	166
906	1600	164
907	1601	162
908	1602	160
909	1604	158
910	1605	156
911	1606	155
912	1608	153
913	1609	151
914	1610	149
915	1611	147
916	1612	145
917	1613	144
918	1614	142
919	1615	140
920	1616	138
921	1618	136
922	1619	135
923	1620	133
924	1621	131
925	1623	129
926	1624	127
927	1625	126
928	1626	124
929	1627	122
930	1628	120
931	1629	118
932	1630	117
933	1631	115
934	1632	113
935	1633	111
936	1635	109
937	1636	108
938	1638	106
939	1639	104
940	1640	102
941	1642	101
942	1643	99
943	1644	97
944	1645	95
945	1646	93
946	1647	92
947	1648	90
948	1650	88
949	1652	86
950	1653	85
951	1654	83
952	1655	81
953	1656	79
954	1657	78
955	1658	76
956	1660	74
957	1662	72
958	1664	71
959	1667	69
960	1668	67
961	1669	65
962	1670	64
963	1671	62
964	1672	60
965	1673	58
966	1674	57
967	1675	55
968	1676	53
969	1677	51
970	1679	50
971	1681	48
972	1682	46
973	1683	44
974	1685	43
975	1686	41
976	1687	39
977	1688	37
978	1689	36
979	1690	34
980	1691	32
981	1692	31
982	1694	29
983	1695	27
984	1697	25
985	1698	24
986	1699	22
987	1700	20
988	1701	18
989	1702	17
990	1703	15
991	1704	13
992	1705	12
993	1705	10
994	1707	8
995	1708	6
996	1710	5
997	1711	3
998	1713	1
999	1714	0
